amount,payment_method,failure_code,retry_count,customer_history,recovered
32043.45,VISA,INVALID_CARD,1,POSITIVE,1
5304.26,WALLET,INSUFFICIENT_FUNDS,4,NEUTRAL,1
4866.02,MASTERCARD,DO_NOT_HONOR,4,POSITIVE,0
35125.98,UPI,EXPIRED_CARD,3,NEGATIVE,0
43491.16,MASTERCARD,TIMEOUT,2,NEUTRAL,1
47869.21,AMEX,INSUFFICIENT_FUNDS,0,NEUTRAL,1
42405.22,WALLET,INVALID_CARD,0,NEGATIVE,0
6416.34,UPI,INSUFFICIENT_FUNDS,4,NEUTRAL,0
31002.28,AMEX,EXPIRED_CARD,0,POSITIVE,0
38698.8,VISA,EXPIRED_CARD,0,NEUTRAL,1
31857.09,AMEX,FUNDS_UNAVAILABLE,2,NEUTRAL,1
13495.5,VISA,FUNDS_UNAVAILABLE,4,NEGATIVE,0
23220.56,AMEX,EXPIRED_CARD,2,POSITIVE,1
1798.59,AMEX,TIMEOUT,2,POSITIVE,1
47156.9,AMEX,EXPIRED_CARD,3,NEUTRAL,0
32214.02,MASTERCARD,INVALID_CARD,1,POSITIVE,0
27041.07,WALLET,TIMEOUT,4,NEUTRAL,0
49866.82,MASTERCARD,FRAUD_REVIEW,0,POSITIVE,0
7811.5,MASTERCARD,TIMEOUT,4,POSITIVE,1
29875.24,UPI,INVALID_CARD,4,POSITIVE,0
5904.68,WALLET,INVALID_CARD,2,POSITIVE,1
8076.26,VISA,INVALID_CARD,4,POSITIVE,0
5499.26,AMEX,EXPIRED_CARD,1,NEUTRAL,0
27061.08,WALLET,DO_NOT_HONOR,4,NEUTRAL,0
5771.01,AMEX,INVALID_CARD,1,POSITIVE,1
28454.38,VISA,INSUFFICIENT_FUNDS,3,POSITIVE,0
26728.77,MASTERCARD,FUNDS_UNAVAILABLE,3,NEGATIVE,0
26478.15,WALLET,TIMEOUT,1,NEGATIVE,0
34555.41,AMEX,TIMEOUT,2,NEUTRAL,0
22684.01,MASTERCARD,EXPIRED_CARD,0,NEUTRAL,1
27785.29,WALLET,EXPIRED_CARD,0,POSITIVE,0
